Aboba,1,2.0,200,500.0,2000.0,GASOLINE,1
Gosha,5,20.1,100,300.0,1000.0,GASOLINE,2
Marat,50,10.1,700,100.0,10000.0,PLASMA,3
"''""""lkj""""",1,2.0,9,3.0,0.0,PLASMA,4
","",",3,4.0,5,6.0,3.0,PLASMA,5
Aboba,50,10.1,700,1000.0,500.0,PLASMA,6
name,1,1.0,1,1.0,1.0,ALCOHOL,7
-4633332779365318874,-8718539636454592808,-8.361924495392919E8,1608498099,1.99797119E9,6.2921267E8,MANPOWER,8
-3750824695550441884,-8930763605544681229,-1.0406127428416319E8,314141452,1.7299464E9,1.7767248E7,ALCOHOL,9
-3928719304836000538,-565095615291182285,1.0598573174524062E
